model,top1_accuracy,top5_accuracy
selecsls60b,78.412,94.174
legacy_seresnet101,78.388,94.264
cait_xxs24_224,78.384,94.310
repvgg_b1,78.368,94.096
tf_efficientnetv2_b0,78.360,94.020
tv_resnet152,78.316,94.034
mobilevit_s,78.312,94.152
res2next50,78.252,93.886
bat_resnext26ts,78.250,94.098
dla60x,78.244,94.018
efficientnet_b1_pruned,78.240,93.834
hrnet_w30,78.198,94.224
pit_xs_224,78.186,94.164
regnetx_032,78.172,94.088
res2net50_14w_8s,78.144,93.848
tf_efficientnet_em,78.132,94.044
hardcorenas_f,78.098,93.802
efficientnet_es,78.056,93.936
gmixer_24_224,78.036,93.670
dla102,78.030,93.948
gluon_resnet50_v1c,78.012,93.990
seresnext26t_32x4d,77.976,93.746
selecsls60,77.976,93.830
res2net50_26w_4s,77.960,93.852
resmlp_12_distilled_224,77.942,93.558
mobilenetv3_large_100_miil,77.916,92.906
tf_efficientnet_cc_b0_8e,77.906,93.656
resnet26t,77.862,93.844
regnety_016,77.860,93.722
rexnet_100,77.858,93.870
tf_inception_v3,77.856,93.640
seresnext26ts,77.852,93.790
gcresnext26ts,77.820,93.830
xcit_nano_12_p8_384_dist,77.818,94.044
hardcorenas_e,77.794,93.696
efficientnet_b0,77.690,93.530
tinynet_a,77.650,93.536
legacy_seresnet50,77.630,93.750
tv_resnext50_32x4d,77.616,93.700
seresnext26d_32x4d,77.604,93.608
repvgg_b1g4,77.586,93.830
adv_inception_v3,77.582,93.736
gluon_resnet50_v1b,77.580,93.722
res2net50_48w_2s,77.520,93.552
coat_lite_tiny,77.514,93.916
tf_efficientnet_lite2,77.468,93.756
eca_resnext26ts,77.454,93.566
inception_v3,77.438,93.474
hardcorenas_d,77.430,93.482
tv_resnet101,77.378,93.542
densenet161,77.354,93.636
tf_efficientnet_cc_b0_4e,77.302,93.334
mobilenetv2_120d,77.294,93.496
densenet201,77.290,93.478
mixnet_m,77.264,93.424
poolformer_s12,77.236,93.504
selecsls42b,77.174,93.392
xcit_tiny_12_p16_224,77.126,93.716
resnet34d,77.114,93.380
legacy_seresnext26_32x4d,77.106,93.318
tf_efficientnet_b0_ap,77.094,93.256
hardcorenas_c,77.050,93.158
dla60,77.030,93.320
crossvit_9_dagger_240,76.982,93.610
regnetx_016,76.950,93.422
convmixer_1024_20_ks9_p14,76.942,93.356
tf_mixnet_m,76.942,93.154
gernet_s,76.908,93.132
skresnet34,76.904,93.320
tf_efficientnet_b0,76.844,93.228
ese_vovnet19b_dw,76.802,93.272
resnext26ts,76.780,93.128
hrnet_w18,76.754,93.440
resnet26d,76.704,93.150
resmlp_12_224,76.656,93.180
tf_efficientnet_lite1,76.640,93.220
mixer_b16_224,76.612,92.228
tf_efficientnet_es,76.596,93.204
densenetblur121d,76.584,93.192
hardcorenas_b,76.536,92.754
mobilenetv2_140,76.522,92.996
levit_128s,76.520,92.872
repvgg_a2,76.458,93.010
xcit_nano_12_p8_224_dist,76.320,93.088
regnety_008,76.310,93.070
dpn68,76.306,92.974
tv_resnet50,76.134,92.868
mixnet_s,75.992,92.798
vit_small_patch32_224,75.986,93.270
vit_tiny_r_s16_p8_384,75.954,93.264
hardcorenas_a,75.920,92.520
densenet169,75.898,93.030
mobilenetv3_large_100,75.766,92.544
tf_mixnet_s,75.650,92.628
mobilenetv3_rw,75.632,92.708
densenet121,75.584,92.652
tf_mobilenetv3_large_100,75.518,92.604
resnest14d,75.504,92.520
efficientnet_lite0,75.476,92.512
vit_tiny_patch16_224,75.462,92.844
xcit_nano_12_p16_384_dist,75.456,92.690
semnasnet_100,75.450,92.600
resnet26,75.300,92.578
regnety_006,75.250,92.534
repvgg_b0,75.160,92.418
fbnetc_100,75.130,92.386
hrnet_w18_small_v2,75.118,92.416
resnet34,75.114,92.284
mobilenetv2_110d,75.038,92.184
regnetx_008,75.034,92.340
efficientnet_es_pruned,74.996,92.440
tinynet_b,74.976,92.184
tf_efficientnet_lite0,74.832,92.174
legacy_seresnet34,74.808,92.126
tv_densenet121,74.744,92.152
mnasnet_100,74.658,92.112
mobilevit_xs,74.644,92.356
dla34,74.620,92.072
gluon_resnet34_v1b,74.588,91.988
pit_ti_distilled_224,74.532,92.096
deit_tiny_distilled_patch16_224,74.512,91.886
vgg19_bn,74.214,91.848
spnasnet_100,74.084,91.820
regnety_004,74.024,91.754
ghostnet_100,73.974,91.460
crossvit_9_240,73.960,91.968
xcit_nano_12_p8_224,73.910,92.168
regnetx_006,73.860,91.672
vit_base_patch32_224_sam,73.694,91.010
tf_mobilenetv3_large_075,73.436,91.344
vgg16_bn,73.350,91.504
crossvit_tiny_240,73.332,91.914
tv_resnet34,73.306,91.424
swsl_resnet18,73.276,91.736
convit_tiny,73.114,91.714
